timestamp,health,osds,active,disk_usage(TiB),scrubbing,mons,runningtime,active_clean,date,time,date_time,rd_bw(KiB/s),wr_bw(KiB/s),rd_ops(op/s),wr_ops(op/s)
20240312-0000,HEALTH_WARN,"112 osds: 112 up (since 11d), 112 in (since 11w)",2 portals active (2 hosts),125,2,3,2,671,12-03-2024,00:00:00,12-03-2024 00:00,412,2.7,474,178
20240312-0600,HEALTH_WARN,"112 osds: 112 up (since 11d), 112 in (since 11w)",2 portals active (2 hosts),125,6,3,2,667,12-03-2024,06:00:00,12-03-2024 06:00,412,692,475,65
20240312-1200,HEALTH_WARN,"112 osds: 112 up (since 11d), 112 in (since 11w)",2 portals active (2 hosts),125,3,3,2,670,12-03-2024,12:00:00,12-03-2024 12:00,303,64,346,106
20240312-1800,HEALTH_WARN,"112 osds: 112 up (since 12d), 112 in (since 11w)",2 portals active (2 hosts),125,3,3,2,670,12-03-2024,18:00:00,12-03-2024 18:00,345,5.8,392,139
20240313-0000,HEALTH_WARN,"112 osds: 112 up (since 12d), 112 in (since 11w)",2 portals active (2 hosts),125,5,3,2,668,13-03-2024,00:00:00,13-03-2024 00:00,330,2.9,371,187
20240313-0600,HEALTH_WARN,"112 osds: 112 up (since 12d), 112 in (since 11w)",2 portals active (2 hosts),125,7,3,2,666,13-03-2024,06:00:00,13-03-2024 06:00,183,1.1,199,79
20240313-1200,HEALTH_WARN,"112 osds: 112 up (since 12d), 112 in (since 11w)",2 portals active (2 hosts),125,5,3,2,668,13-03-2024,12:00:00,13-03-2024 12:00,177,1.4,194,138
20240313-1800,HEALTH_WARN,"112 osds: 112 up (since 13d), 112 in (since 2M)",2 portals active (2 hosts),125,5,3,2,668,13-03-2024,18:00:00,13-03-2024 18:00,28,942,27,63
20240314-0000,HEALTH_WARN,"112 osds: 112 up (since 13d), 112 in (since 2M)",2 portals active (2 hosts),125,4,3,2,669,14-03-2024,00:00:00,14-03-2024 00:00,23,37,9,145
20240314-0600,HEALTH_WARN,"112 osds: 112 up (since 13d), 112 in (since 2M)",2 portals active (2 hosts),125,7,3,2,666,14-03-2024,06:00:00,14-03-2024 06:00,66,1.2,73,34
20240314-1200,HEALTH_WARN,"112 osds: 112 up (since 13d), 112 in (since 2M)",2 portals active (2 hosts),125,5,3,2,668,14-03-2024,12:00:00,14-03-2024 12:00,2.3,845,5,52
20240314-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),125,6,3,2,667,14-03-2024,18:00:00,14-03-2024 18:00,10,1,75,91
20240315-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,5,3,2,668,15-03-2024,00:00:00,15-03-2024 00:00,4,3.9,4,208
20240315-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,3,3,2,670,15-03-2024,06:00:00,15-03-2024 06:00,2.3,1.4,3,170
20240315-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,4,3,3,669,15-03-2024,12:00:00,15-03-2024 12:00,10,3.4,7,94
20240315-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,6,3,3,667,15-03-2024,18:00:00,15-03-2024 18:00,37,21,28,152
20240316-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,6,3,3,667,16-03-2024,00:00:00,16-03-2024 00:00,2.3,5.6,2,341
20240316-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,1,3,3,672,16-03-2024,06:00:00,16-03-2024 06:00,1.7,1.7,2,123
20240316-1200,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,5,3,3,668,16-03-2024,12:00:00,16-03-2024 12:00,2.4,1.8,3,129
20240316-1800,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,2,3,3,671,16-03-2024,18:00:00,16-03-2024 18:00,48,29,37,81
20240317-0000,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,1,3,3,672,17-03-2024,00:00:00,17-03-2024 00:00,56,8.7,19,406
20240317-0600,HEALTH_WARN,"112 osds: 112 up (since 2w), 112 in (since 2M)",2 portals active (2 hosts),126,5,3,3,668,17-03-2024,06:00:00,17-03-2024 06:00,1.7,902,2,103
